排名,股票代码,企业简称,净利润（亿元）
1,601398,工商银行,3176.85
2,601939,建设银行,2735.79
3,601288,农业银行,2164.00
4,601988,中国银行,2050.96
5,601318,中国平安,1593.59
6,600036,招商银行,979.59
7,601328,交通银行,795.70
8,601668,中国建筑,709.50
9,601166,兴业银行,676.81
10,601658,邮储银行,643.18
排名,股票代码,企业简称,净利润（亿元）
1,601398,工商银行,3176.85
2,601939,建设银行,2735.79
3,601288,农业银行,2164.00
4,601988,中国银行,2050.96
5,601318,中国平安,1593.59
6,600036,招商银行,979.59
7,601328,交通银行,795.70
8,601668,中国建筑,709.50
9,601166,兴业银行,676.81
10,601658,邮储银行,643.18
排名,股票代码,企业简称,净利润（亿元）
1,601398,工商银行,3176.85
2,601939,建设银行,2735.79
3,601288,农业银行,2164.00
4,601988,中国银行,2050.96
5,601318,中国平安,1593.59
6,600036,招商银行,979.59
7,601328,交通银行,795.70
8,601668,中国建筑,709.50
9,601166,兴业银行,676.81
10,601658,邮储银行,643.18
排名,股票代码,企业简称,净利润（亿元）
1,601398,工商银行,3176.85
2,601939,建设银行,2735.79
3,601288,农业银行,2164.00
4,601988,中国银行,2050.96
5,601318,中国平安,1593.59
6,600036,招商银行,979.59
7,601328,交通银行,795.70
8,601668,中国建筑,709.50
9,601166,兴业银行,676.81
10,601658,邮储银行,643.18
